cik10,company_name,sec_terminal_date,completion_accession,completion_items,nearby_25_nse,notice_accessions,later_periodic_filing,terminal_reason
0001492633,NIELSEN HOLDINGS PLC,2022-10-12,0000876661-22-000825,,True,0000876661-22-000825,False,form25_plus_form15_no_later_periodic
0001403752,ZYMEWORKS INC.,2022-10-13,0000876661-22-000832,,True,0000876661-22-000832,False,form25_plus_form15_no_later_periodic
0001752836,"COVETRUS, INC.",2022-10-13,0001193125-22-261932,1.01|1.02|2.01|2.03|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000569,False,completion_8k
0001538927,"FORMA THERAPEUTICS HOLDINGS, INC.",2022-10-14,0001193125-22-262644,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000574,False,completion_8k
0001635881,EXTERRAN CORP,2022-10-17,0001193125-22-263429,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000834,False,completion_8k
0001757932,"ROMEO POWER, INC.",2022-10-17,0001193125-22-263661,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-22-000847,False,completion_8k
0001818873,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. VI,2022-10-17,0000876661-22-000849,,True,0000876661-22-000849,False,form25_plus_form15_no_later_periodic
0001679826,PING IDENTITY HOLDING CORP.,2022-10-18,0001104659-22-109533,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000855,False,completion_8k
0000775368,ALLEGHANY CORP /DE,2022-10-19,0001193125-22-265292,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-22-000857,False,completion_8k
0001348036,"AVALARA, INC.",2022-10-19,0001193125-22-265324,1.01|1.02|2.01|2.03|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000861,False,completion_8k
0001610466,"SHELL MIDSTREAM PARTNERS, L.P.",2022-10-19,0001193125-22-264932,2.01|3.01|3.03|5.02|7.01|9.01,True,0000876661-22-000859,False,completion_8k
0001340652,"CHEMOCENTRYX, INC.",2022-10-20,0001193125-22-265762,1.02|2.01|3.01|3.03|5.01|5.02|5.03|7.01|9.01,True,0001354457-22-000581,False,completion_8k
0001524223,"MANNING & NAPIER, INC.",2022-10-21,0001193125-22-266814,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000873,False,completion_8k
0001399249,"PZENA INVESTMENT MANAGEMENT, INC.",2022-10-31,0001193125-22-273962,1.01|2.01|3.01|3.03|5.01|5.02|8.01|9.01,True,0000876661-22-000902,False,completion_8k
0001418091,"TWITTER, INC.",2022-10-31,0001193125-22-272772,1.01|1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000890,False,completion_8k
0001525287,SPRAGUE RESOURCES LP,2022-11-01,0001104659-22-113199,2.01|3.01|3.03|5.02|7.01|8.01|9.01,True,0000876661-22-000912,False,completion_8k
0001169652,CHANNELADVISOR CORP,2022-11-15,0001193125-22-285349,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000986,False,completion_8k
0001024725,TENNECO INC,2022-11-17,0001193125-22-287303,1.01|1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000998|0000876661-22-000996,False,completion_8k
0001337553,AERIE PHARMACEUTICALS INC,2022-11-21,0001140361-22-042430,1.01|1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000658,False,completion_8k
