candidate,trailing_1y_cagr,trailing_1y_sharpe,trailing_1y_drawdown,ytd_cagr,full_cagr,full_drawdown,trailing_1y_200bps_cagr,recent_return,ytd_return,recent_sharpe,recent_drawdown,full_return_gate,full_drawdown_gate,severe_cost,all_screen_gates,joint_improvement
cash_rel_12w_00_30,0.9375382279370126,2.5622329263261556,-0.12124251619270776,0.9065798712392605,0.3763292915185039,-0.22300560776010558,0.8137034068325273,True,True,True,True,True,True,False,False,False
cash_rel_14w_00_10,0.9370440710741326,2.454461148430626,-0.13609067384326867,0.9057745686431404,0.38332535233323406,-0.21470542763599332,0.8332297701302698,True,True,True,True,True,True,True,True,False
cash_rel_26w_00_10,0.9370440710741315,2.454461148430625,-0.13609067384326867,0.90577456864314,0.3821946817055999,-0.21640853565990814,0.8332297701302689,True,True,True,True,True,True,True,True,False
cash_rel_20w_00_10,0.9370440710741312,2.454461148430624,-0.13609067384326878,0.9057745686431395,0.38111415338834087,-0.22190591832295092,0.8332297701302696,True,True,True,True,True,True,True,True,False
cash_rel_15w_00_10,0.9370440710741312,2.454461148430625,-0.13609067384326856,0.90577456864314,0.3840354697155328,-0.21371856774463138,0.8332297701302696,True,True,True,True,True,True,True,True,False
cash_rel_8w_05_20,0.9367782790427479,2.5711674222959284,-0.10765981124233259,0.949668945922689,0.36663153242283086,-0.21829343055387684,0.8182011611958397,True,True,True,True,True,True,False,False,False
cash_rel_22w_00_30,0.9362745841193669,2.4254426090883157,-0.15101509896137222,0.904520842843352,0.370406449702783,-0.2273251050613242,0.8128231006316673,True,True,True,True,True,True,False,False,False
cash_rel_14w_05_20,0.9336002459932737,2.5265900151005756,-0.12817139868542404,0.926135599286144,0.3734649063608886,-0.2216871550452968,0.8296851733957622,True,True,True,True,True,True,True,True,False
cash_rel_20w_05_20,0.9336002459932735,2.526590015100575,-0.1281713986854236,0.9261355992861471,0.3713793264728389,-0.2304033135477992,0.8296851733957633,True,True,True,True,True,True,True,True,False
cash_rel_15w_05_20,0.9336002459932722,2.5265900151005747,-0.12817139868542393,0.9261355992861462,0.3750723529064557,-0.22022694180059488,0.829685173395762,True,True,True,True,True,True,True,True,False
cash_rel_26w_05_20,0.9336002459932722,2.5265900151005716,-0.1281713986854236,0.9261355992861424,0.37259268471875684,-0.22225975637062922,0.8296851733957602,True,True,True,True,True,True,True,True,False
cash_rel_12w_00_20,0.9332256808494201,2.527594755542097,-0.12535363486853346,0.8995564763524315,0.3796720445318471,-0.21948560178081122,0.8169884110751615,True,True,True,True,True,True,False,False,False
cash_rel_10w_00_20,0.9332256808494193,2.5275947555420952,-0.12535363486853357,0.8995564763524306,0.37992788683914114,-0.22213056409631016,0.8169884110751613,True,True,True,True,True,True,False,False,False
cash_rel_8w_10_30,0.9332085542771591,2.6458137305883023,-0.0936571828008278,0.9766912460195847,0.35393862126309417,-0.22414084172827142,0.8103323317306128,True,True,True,True,False,True,False,False,False
cash_rel_22w_00_20,0.9320189693860317,2.430187880067807,-0.14548813517642445,0.8975930707806412,0.37562300876048726,-0.22200220923517844,0.8161344308897802,False,True,True,True,True,True,False,False,False
cash_rel_22w_05_50,0.9318880167124262,2.4688758760191774,-0.15077598260132608,0.9233114883215996,0.3548221585904179,-0.23850173209346692,0.7987388696250546,False,True,True,True,False,True,False,False,False
cash_rel_12w_05_50,0.9317930340225129,2.6500322583013305,-0.1074449972742424,0.9231548741611595,0.36245516746996453,-0.23484831107891313,0.798878138366558,False,True,True,True,True,True,False,False,False
cash_rel_10w_05_50,0.9317930340225118,2.650032258301329,-0.10744499727424273,0.9231548741611606,0.36329828755406957,-0.2419531086789145,0.7988781383665593,False,True,True,True,True,True,False,False,False
cash_rel_13w_10_20,0.9316474879809529,2.623735415389834,-0.11204577049122,0.9494151566314457,0.3703766068395504,-0.22408526456411282,0.8294522460385478,False,True,True,True,True,True,True,False,False
cash_rel_14w_10_30,0.9295664001407218,2.593974671295133,-0.12116321379113226,0.9459378803834393,0.3634858689003284,-0.2286253428848647,0.8258747813540581,False,True,True,True,True,True,True,False,False
cash_rel_26w_10_30,0.9295664001407211,2.593974671295132,-0.12116321379113215,0.9459378803834377,0.3628791527851809,-0.228112730801875,0.8258747813540568,False,True,True,True,True,True,True,False,False
cash_rel_15w_10_30,0.9295664001407207,2.5939746712951317,-0.12116321379113215,0.9459378803834373,0.3659758020685393,-0.22670357215921988,0.8258747813540572,False,True,True,True,True,True,True,False,False
