Date,source_return,desired_exposure,exposure,outer_turnover,financing_cost,outer_cost,net_return,wealth,drawdown
2024-08-02,-0.0036392389747055,1.02600770090977,1.25,0.25,0.00028846153846153843,0.000625,-0.005462510256843413,1.2694240549430234,-0.17280254321034383
2024-08-09,0.0515725212368871,1.0542534698347954,1.0542534698347954,0.1957465301652046,6.260015750168699e-05,0.0004893663254130115,0.0538185429792022,1.3377426080028076,-0.128283981329823
2024-08-16,0.0173741707267867,0.9400773247272859,0.9400773247272859,0.11417614510750951,0.0,0.00028544036276877377,0.016047623573423993,1.359210197814167,-0.11429501079928017
2024-08-23,-0.0042299836358106,0.925187861260023,0.925187861260023,0.014889463467262942,0.0,3.7223658668157355e-05,-0.0039507531718486625,1.3538402938139438,-0.11779421259468714
2024-08-30,-0.0571987622707307,0.924941161059822,0.924941161059822,0.0002467002002009,0.0,6.1675050050225e-07,-0.0529061063363749,1.282213875266954,-0.16446828579371808
2024-09-06,0.0492464091018516,0.8209230433549937,0.8209230433549937,0.10401811770482838,0.0,0.00026004529426207096,0.040167466739935,1.3337171584552225,-0.13090709345317642
2024-09-13,0.0202709430899246,0.7579549404514517,0.7579549404514517,0.06296810290354193,0.0,0.0001574202572588548,0.015207041205359711,1.3539990502401464,-0.11769076181203297
2024-09-20,0.0117746933557858,0.746456661023776,0.746456661023776,0.011498279427675784,0.0,2.874569856918946e-05,0.00876055258836952,1.3658608301243778,-0.10996124533168294
2024-09-27,0.010411577145871,0.7430035617443258,0.7430035617443258,0.0034530992794501447,0.0,8.632748198625361e-06,0.007727206154559349,1.3764151183371862,-0.10308373238881363
2024-10-04,0.0144918863486829,0.7564020133558511,0.7564020133558511,0.013398451611525308,0.0,3.349612902881327e-05,0.010928195882439106,1.3914568523659256,-0.0932820557262124
2024-10-11,0.0081410458858306,0.7513070934445591,0.7513070934445591,0.005094919911291962,0.0,1.2737299778229904e-05,0.006103688222303945,1.3999498711675558,-0.08774773208879683
2024-10-18,-0.0178315907456935,0.7994819959146887,0.7994819959146887,0.048174902470129566,0.0,0.00012043725617532393,-0.014376473015876256,1.3798235296211359,-0.10086270220209415
2024-10-25,-0.0232910522157304,0.7890920870831902,0.7890920870831902,0.010389908831498484,0.0,2.597477207874621e-05,-0.018404759775353007,1.354428209026079,-0.11741110817312472
2024-11-01,0.0540367635145901,0.9594677285094653,0.9594677285094653,0.17037564142627504,0.0,0.00042593910356568756,0.05142059164178122,1.424073708870518,-0.0720278651789229
2024-11-08,-0.0355972666636156,0.87728019978637,0.87728019978637,0.08218752872309532,0.0,0.00020546882180773828,-0.03143424603231312,1.3793090255377334,-0.10119796957601956
