rule_name,target,subperiod,n_events,event_frequency,precision,baseline_precision,precision_lift,avg_forward_return,baseline_avg_forward_return,return_lift
rule_int_credit_strength_x_trend__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2016_2020,1522,0.1666119321291735,0.3015768725361367,0.2571428571428571,0.04443401539327957,0.005802422966147283,0.006819623226853916,-0.0010172002607066336
rule_int_credit_strength_x_trend__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2021_2026,1619,0.17006302521008404,0.2711550339715874,0.2571428571428571,0.014012176828730294,0.0022541545562295875,0.006374794816463079,-0.004120640260233491
rule_int_credit_strength_x_trend__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2010_2015,1797,0.16791253971220332,0.29271007234279356,0.2632218276957578,0.029488244647035755,0.013138545983290987,0.007222038265470979,0.005916507717820008
rule_int_credit_strength_x_trend__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2016_2020,1522,0.1666119321291735,0.2923784494086728,0.2571428571428571,0.035235592265815685,0.009430013440039072,0.013835204278374246,-0.004405190838335174
rule_int_credit_strength_x_trend__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2021_2026,1596,0.1701492537313433,0.2850877192982456,0.2571428571428571,0.027944862155388495,0.00736920864541835,0.01297451572413913,-0.005605307078720779
rule_int_credit_strength_x_trend__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2010_2015,1797,0.16802244039270686,0.3099610461880913,0.26339410939691443,0.04656693679117685,0.007491350660796569,0.0035440503000185226,0.003947300360778047
rule_int_credit_strength_x_trend__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2016_2020,1522,0.1666119321291735,0.2831800262812089,0.2571428571428571,0.0260371691383518,0.005802422966147283,0.006819623226853916,-0.0010172002607066336
rule_int_credit_strength_x_trend__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2021_2026,1619,0.17006302521008404,0.23162445954292774,0.2571428571428571,-0.025518397599929382,0.0022541545562295875,0.006374794816463079,-0.004120640260233491
rule_int_credit_strength_x_trend__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2010_2015,1797,0.16802244039270686,0.2915971062882582,0.26339410939691443,0.028202996891343757,0.013138545983290987,0.007314297407118801,0.005824248576172185
rule_int_credit_strength_x_trend__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2016_2020,1522,0.1666119321291735,0.2700394218134034,0.2571428571428571,0.012896564670546284,0.009430013440039072,0.013835204278374246,-0.004405190838335174
