date,sleeve,ticker,weight
2021-04-16,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-04-16,Top3_Strict_Leadership,XLI,0.3333333333333333
2021-04-23,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-04-23,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-04-23,Top3_Strict_Leadership,XLI,0.3333333333333333
2021-04-30,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-04-30,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-04-30,Top3_Strict_Leadership,XLI,0.3333333333333333
2021-05-07,Top3_Strict_Leadership,XLB,0.3333333333333333
2021-05-07,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-05-07,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-05-14,Top3_Strict_Leadership,XLB,0.3333333333333333
2021-05-14,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-05-14,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-05-21,Top3_Strict_Leadership,XLB,0.3333333333333333
2021-05-21,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-05-21,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-05-28,Top3_Strict_Leadership,XLB,0.3333333333333333
2021-05-28,Top3_Strict_Leadership,XLE,0.3333333333333333
2021-05-28,Top3_Strict_Leadership,XLF,0.3333333333333333
2021-06-04,Top3_Strict_Leadership,XLB,0.3333333333333333
2021-06-04,Top3_Strict_Leadership,XLE,0.3333333333333333
