,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,sector_rotation_with_sma_filter,cash::BIL
2012-11-30,0.06345473528466723,0.09199424781257698,0.19372268124259062,0.2477003097263961,0.16096316492751364,0.24216486100625545,0.0
2012-12-07,0.06345473528466723,0.09199424781257698,0.19372268124259062,0.2477003097263961,0.16096316492751364,0.24216486100625545,0.0
2012-12-14,0.06345473528466723,0.09199424781257698,0.19372268124259062,0.2477003097263961,0.16096316492751364,0.24216486100625545,0.0
2012-12-21,0.06345473528466723,0.09199424781257698,0.19372268124259062,0.2477003097263961,0.16096316492751364,0.24216486100625545,0.0
2012-12-28,0.06464082114717651,0.0953005582161654,0.19187007899442532,0.26341514827431506,0.16992430122678895,0.21484909214112877,0.0
2013-01-04,0.06464082114717651,0.0953005582161654,0.19187007899442532,0.26341514827431506,0.16992430122678895,0.21484909214112877,0.0
2013-01-11,0.06464082114717651,0.0953005582161654,0.19187007899442532,0.26341514827431506,0.16992430122678895,0.21484909214112877,0.0
2013-01-18,0.06464082114717651,0.0953005582161654,0.19187007899442532,0.26341514827431506,0.16992430122678895,0.21484909214112877,0.0
2013-01-25,0.06983915962640885,0.09427751919389718,0.18564903655479265,0.23904585623675348,0.17067518819064897,0.2405132401974988,0.0
2013-02-01,0.06983915962640885,0.09427751919389718,0.18564903655479265,0.23904585623675348,0.17067518819064897,0.2405132401974988,0.0
2013-02-08,0.06983915962640885,0.09427751919389718,0.18564903655479265,0.23904585623675348,0.17067518819064897,0.2405132401974988,0.0
2013-02-15,0.06983915962640885,0.09427751919389718,0.18564903655479265,0.23904585623675348,0.17067518819064897,0.2405132401974988,0.0
2013-02-22,0.07428182369085999,0.10523908856364773,0.16903630867767364,0.22761399840986718,0.15621949668438784,0.2676092839735636,0.0
2013-03-01,0.07428182369085999,0.10523908856364773,0.16903630867767364,0.22761399840986718,0.15621949668438784,0.2676092839735636,0.0
2013-03-08,0.07428182369085999,0.10523908856364773,0.16903630867767364,0.22761399840986718,0.15621949668438784,0.2676092839735636,0.0
2013-03-15,0.07428182369085999,0.10523908856364773,0.16903630867767364,0.22761399840986718,0.15621949668438784,0.2676092839735636,0.0
2013-03-22,0.07428182369085999,0.10523908856364773,0.16903630867767364,0.22761399840986718,0.15621949668438784,0.2676092839735636,0.0
2013-03-29,0.07861882616753481,0.0853022598397225,0.34564146738700097,0.12622576637350263,0.13863970892551802,0.22557197130672113,0.0
2013-04-05,0.07861882616753481,0.0853022598397225,0.34564146738700097,0.12622576637350263,0.13863970892551802,0.22557197130672113,0.0
2013-04-12,0.07861882616753481,0.0853022598397225,0.34564146738700097,0.12622576637350263,0.13863970892551802,0.22557197130672113,0.0
2013-04-19,0.07861882616753481,0.0853022598397225,0.34564146738700097,0.12622576637350263,0.13863970892551802,0.22557197130672113,0.0
2013-04-26,0.08146421942699997,0.08763227310962086,0.33621016865327585,0.12282198249722391,0.12962126729989054,0.19782283292297861,0.0444272560900103
2013-05-03,0.08146421942699997,0.08763227310962086,0.33621016865327585,0.12282198249722391,0.12962126729989054,0.19782283292297861,0.0444272560900103
2013-05-10,0.08146421942699997,0.08763227310962086,0.33621016865327585,0.12282198249722391,0.12962126729989054,0.19782283292297861,0.0444272560900103
2013-05-17,0.08146421942699997,0.08763227310962086,0.33621016865327585,0.12282198249722391,0.12962126729989054,0.19782283292297861,0.0444272560900103
2013-05-24,0.08146421942699997,0.08763227310962086,0.33621016865327585,0.12282198249722391,0.12962126729989054,0.19782283292297861,0.0444272560900103
2013-05-31,0.0902863417436996,0.10082489560702089,0.33162999338378246,0.1392012718554517,0.13391245754793993,0.20414503986210553,0.0
2013-06-07,0.0902863417436996,0.10082489560702089,0.33162999338378246,0.1392012718554517,0.13391245754793993,0.20414503986210553,0.0
2013-06-14,0.0902863417436996,0.10082489560702089,0.33162999338378246,0.1392012718554517,0.13391245754793993,0.20414503986210553,0.0
2013-06-21,0.0902863417436996,0.10082489560702089,0.33162999338378246,0.1392012718554517,0.13391245754793993,0.20414503986210553,0.0
2013-06-28,0.0716798890171238,0.08485295464128297,0.2652472038685644,0.13010771996556195,0.1110093023283621,0.1746170410687028,0.16248588911040196
2013-07-05,0.0716798890171238,0.08485295464128297,0.2652472038685644,0.13010771996556195,0.1110093023283621,0.1746170410687028,0.16248588911040196
2013-07-12,0.0716798890171238,0.08485295464128297,0.2652472038685644,0.13010771996556195,0.1110093023283621,0.1746170410687028,0.16248588911040196
2013-07-19,0.0716798890171238,0.08485295464128297,0.2652472038685644,0.13010771996556195,0.1110093023283621,0.1746170410687028,0.16248588911040196
2013-07-26,0.07926397762644954,0.10104096812850219,0.22834874930717064,0.23469863686803125,0.12532860359321074,0.2042337219846958,0.027085342491939834
2013-08-02,0.07926397762644954,0.10104096812850219,0.22834874930717064,0.23469863686803125,0.12532860359321074,0.2042337219846958,0.027085342491939834
2013-08-09,0.07926397762644954,0.10104096812850219,0.22834874930717064,0.23469863686803125,0.12532860359321074,0.2042337219846958,0.027085342491939834
2013-08-16,0.07926397762644954,0.10104096812850219,0.22834874930717064,0.23469863686803125,0.12532860359321074,0.2042337219846958,0.027085342491939834
2013-08-23,0.07926397762644954,0.10104096812850219,0.22834874930717064,0.23469863686803125,0.12532860359321074,0.2042337219846958,0.027085342491939834
2013-08-30,0.06523206820789386,0.08818647497613183,0.16699238787584358,0.2310767766570954,0.11287607832986007,0.1749660689282893,0.16067014502488597
2013-09-06,0.06523206820789386,0.08818647497613183,0.16699238787584358,0.2310767766570954,0.11287607832986007,0.1749660689282893,0.16067014502488597
2013-09-13,0.06523206820789386,0.08818647497613183,0.16699238787584358,0.2310767766570954,0.11287607832986007,0.1749660689282893,0.16067014502488597
2013-09-20,0.06523206820789386,0.08818647497613183,0.16699238787584358,0.2310767766570954,0.11287607832986007,0.1749660689282893,0.16067014502488597
2013-09-27,0.06336434049784813,0.0886234887013112,0.1490577409681831,0.24762505120268272,0.11589663263109226,0.17406308977774562,0.16136965622113686
2013-10-04,0.06336434049784813,0.0886234887013112,0.1490577409681831,0.24762505120268272,0.11589663263109226,0.17406308977774562,0.16136965622113686
2013-10-11,0.06336434049784813,0.0886234887013112,0.1490577409681831,0.24762505120268272,0.11589663263109226,0.17406308977774562,0.16136965622113686
2013-10-18,0.06336434049784813,0.0886234887013112,0.1490577409681831,0.24762505120268272,0.11589663263109226,0.17406308977774562,0.16136965622113686
2013-10-25,0.07623881912321157,0.09983589807751203,0.1535892886374607,0.3174545907985653,0.1235681053300449,0.1981321879432019,0.031181110090003572
2013-11-01,0.07623881912321157,0.09983589807751203,0.1535892886374607,0.3174545907985653,0.1235681053300449,0.1981321879432019,0.031181110090003572
2013-11-08,0.07623881912321157,0.09983589807751203,0.1535892886374607,0.3174545907985653,0.1235681053300449,0.1981321879432019,0.031181110090003572
2013-11-15,0.07623881912321157,0.09983589807751203,0.1535892886374607,0.3174545907985653,0.1235681053300449,0.1981321879432019,0.031181110090003572
2013-11-22,0.07623881912321157,0.09983589807751203,0.1535892886374607,0.3174545907985653,0.1235681053300449,0.1981321879432019,0.031181110090003572
2013-11-29,0.07128041426049628,0.100088397104933,0.13898640880900137,0.338457158450238,0.11844844749518485,0.2044601229669368,0.028279050913209702
2013-12-06,0.07128041426049628,0.100088397104933,0.13898640880900137,0.338457158450238,0.11844844749518485,0.2044601229669368,0.028279050913209702
2013-12-13,0.07128041426049628,0.100088397104933,0.13898640880900137,0.338457158450238,0.11844844749518485,0.2044601229669368,0.028279050913209702
2013-12-20,0.07128041426049628,0.100088397104933,0.13898640880900137,0.338457158450238,0.11844844749518485,0.2044601229669368,0.028279050913209702
2013-12-27,0.06741736510866791,0.10067668392868408,0.12869822232110492,0.3487391826913997,0.11309293553549662,0.20858106474990362,0.03279454566474316
2014-01-03,0.06741736510866791,0.10067668392868408,0.12869822232110492,0.3487391826913997,0.11309293553549662,0.20858106474990362,0.03279454566474316
2014-01-10,0.06741736510866791,0.10067668392868408,0.12869822232110492,0.3487391826913997,0.11309293553549662,0.20858106474990362,0.03279454566474316
2014-01-17,0.06741736510866791,0.10067668392868408,0.12869822232110492,0.3487391826913997,0.11309293553549662,0.20858106474990362,0.03279454566474316
2014-01-24,0.06741736510866791,0.10067668392868408,0.12869822232110492,0.3487391826913997,0.11309293553549662,0.20858106474990362,0.03279454566474316
2014-01-31,0.06464579360005951,0.10272106293278983,0.1216808527176408,0.35742367608537756,0.1097722730756722,0.20752522554068176,0.0362311160477784
2014-02-07,0.06464579360005951,0.10272106293278983,0.1216808527176408,0.35742367608537756,0.1097722730756722,0.20752522554068176,0.0362311160477784
2014-02-14,0.06464579360005951,0.10272106293278983,0.1216808527176408,0.35742367608537756,0.1097722730756722,0.20752522554068176,0.0362311160477784
2014-02-21,0.06464579360005951,0.10272106293278983,0.1216808527176408,0.35742367608537756,0.1097722730756722,0.20752522554068176,0.0362311160477784
2014-02-28,0.06352814883395069,0.10693994441723803,0.11779352809878373,0.34616879700270625,0.10988250122286641,0.21031263229778108,0.045374448126673794
2014-03-07,0.06352814883395069,0.10693994441723803,0.11779352809878373,0.34616879700270625,0.10988250122286641,0.21031263229778108,0.045374448126673794
2014-03-14,0.06352814883395069,0.10693994441723803,0.11779352809878373,0.34616879700270625,0.10988250122286641,0.21031263229778108,0.045374448126673794
2014-03-21,0.06352814883395069,0.10693994441723803,0.11779352809878373,0.34616879700270625,0.10988250122286641,0.21031263229778108,0.045374448126673794
2014-03-28,0.06790265313808465,0.10157610881634195,0.16683393592090495,0.2925475155220086,0.11237854958950344,0.21799321414775183,0.040768022865404485
2014-04-04,0.06790265313808465,0.10157610881634195,0.16683393592090495,0.2925475155220086,0.11237854958950344,0.21799321414775183,0.040768022865404485
2014-04-11,0.06790265313808465,0.10157610881634195,0.16683393592090495,0.2925475155220086,0.11237854958950344,0.21799321414775183,0.040768022865404485
2014-04-18,0.06790265313808465,0.10157610881634195,0.16683393592090495,0.2925475155220086,0.11237854958950344,0.21799321414775183,0.040768022865404485
2014-04-25,0.07818216835074582,0.09763937987943477,0.22311328719123275,0.23486302682224577,0.12183408752113935,0.21734910365516874,0.027018946580032788
2014-05-02,0.07818216835074582,0.09763937987943477,0.22311328719123275,0.23486302682224577,0.12183408752113935,0.21734910365516874,0.027018946580032788
2014-05-09,0.07818216835074582,0.09763937987943477,0.22311328719123275,0.23486302682224577,0.12183408752113935,0.21734910365516874,0.027018946580032788
