,dual_momentum_topn,composite_calm_trend_specialist,composite_healthier_recovery_specialist,composite_anti_chop_clarity,composite_regime_conditioned,taa_10m_sma,composite_structural_defense_sleeve,cash::BIL
2024-01-19,0.053882246025148975,0.08443223230750571,0.06626081039412156,0.06444628191438123,0.09098004168663906,0.03999838767220342,0.6,0.0
2024-01-26,0.051153352433639915,0.08271387947751344,0.06303759847402442,0.06218019894367674,0.08702275905499406,0.03754049779904117,0.5743684748582362,0.041983238958874125
2024-02-02,0.051153352433639915,0.08271387947751344,0.06303759847402442,0.06218019894367674,0.08702275905499406,0.03754049779904117,0.5743684748582362,0.041983238958874125
2024-02-09,0.051153352433639915,0.08271387947751344,0.06303759847402442,0.06218019894367674,0.08702275905499406,0.03754049779904117,0.5743684748582362,0.041983238958874125
2024-02-16,0.051153352433639915,0.08271387947751344,0.06303759847402442,0.06218019894367674,0.08702275905499406,0.03754049779904117,0.5743684748582362,0.041983238958874125
2024-02-23,0.052738157893424516,0.08934942297095201,0.06005461403442331,0.06411690310791705,0.09708749828033243,0.036653403712950824,0.6,0.0
2024-03-01,0.052738157893424516,0.08934942297095201,0.06005461403442331,0.06411690310791705,0.09708749828033243,0.036653403712950824,0.6,0.0
2024-03-08,0.052738157893424516,0.08934942297095201,0.06005461403442331,0.06411690310791705,0.09708749828033243,0.036653403712950824,0.6,0.0
2024-03-15,0.052738157893424516,0.08934942297095201,0.06005461403442331,0.06411690310791705,0.09708749828033243,0.036653403712950824,0.6,0.0
2024-03-22,0.052738157893424516,0.08934942297095201,0.06005461403442331,0.06411690310791705,0.09708749828033243,0.036653403712950824,0.6,0.0
2024-03-29,0.05262536118052164,0.09318729170184539,0.05892125374407263,0.06716740830712299,0.09300619083287279,0.035092494233564614,0.6,0.0
2024-04-05,0.05262536118052164,0.09318729170184539,0.05892125374407263,0.06716740830712299,0.09300619083287279,0.035092494233564614,0.6,0.0
2024-04-12,0.05262536118052164,0.09318729170184539,0.05892125374407263,0.06716740830712299,0.09300619083287279,0.035092494233564614,0.6,0.0
2024-04-19,0.05262536118052164,0.09318729170184539,0.05892125374407263,0.06716740830712299,0.09300619083287279,0.035092494233564614,0.6,0.0
2024-04-26,0.0486702108856826,0.08777990814812821,0.05671701738119256,0.0646661610573164,0.09266233811564685,0.03433294234645944,0.5762897528209354,0.03888166924463854
2024-05-03,0.0486702108856826,0.08777990814812821,0.05671701738119256,0.0646661610573164,0.09266233811564685,0.03433294234645944,0.5762897528209354,0.03888166924463854
