decision_date,realization_date,cost_bps,gross_return,turnover,cost,net_return
2015-01-02,2015-01-09,10.0,0.012592543092197603,0.8269745197298889,0.0008269745197298889,0.011765568572467714
2015-01-09,2015-01-16,10.0,0.00867300390015343,0.0,0.0,0.00867300390015343
2015-01-16,2015-01-23,10.0,0.010012277451463427,0.0,0.0,0.010012277451463427
2015-01-23,2015-01-30,10.0,-0.012635766344223611,0.0,0.0,-0.012635766344223611
2015-01-30,2015-02-06,10.0,-0.006231062231320843,0.0,0.0,-0.006231062231320843
2015-02-06,2015-02-13,10.0,0.025361757757817512,1.0,0.001,0.02436175775781751
2015-02-13,2015-02-20,10.0,-0.000279582582965468,0.0,0.0,-0.000279582582965468
2015-02-20,2015-02-27,10.0,-0.004130578621851564,0.0,0.0,-0.004130578621851564
2015-02-27,2015-03-06,10.0,-0.013640895248699212,0.0,0.0,-0.013640895248699212
2015-03-06,2015-03-13,10.0,0.001699512405959695,0.6159704239166578,0.0006159704239166578,0.001083541982043037
2015-03-13,2015-03-20,10.0,0.03205072753323132,0.0,0.0,0.03205072753323132
2015-03-20,2015-03-27,10.0,-0.020758010499457122,0.0,0.0,-0.020758010499457122
2015-03-27,2015-04-03,10.0,0.0031635071798479806,0.0,0.0,0.0031635071798479806
2015-04-03,2015-04-10,10.0,0.004359829508510566,0.646609534735939,0.0006466095347359389,0.003713219973774627
2015-04-10,2015-04-17,10.0,-0.009594104004307121,0.0,0.0,-0.009594104004307121
2015-04-17,2015-04-24,10.0,0.0038656697766582134,0.0,0.0,0.0038656697766582134
2015-04-24,2015-05-01,10.0,-0.024554206350441678,0.0,0.0,-0.024554206350441678
2015-05-01,2015-05-08,10.0,-0.0011120748039804235,0.646609534735939,0.0006466095347359389,-0.0017586843387163624
2015-05-08,2015-05-15,10.0,0.0029124083657832093,0.0,0.0,0.0029124083657832093
2015-05-15,2015-05-22,10.0,-0.0005550103772718677,0.0,0.0,-0.0005550103772718677
2015-05-22,2015-05-29,10.0,-0.0024310371475688257,0.0,0.0,-0.0024310371475688257
2015-05-29,2015-06-05,10.0,-0.01469456648339931,0.0,0.0,-0.01469456648339931
2015-06-05,2015-06-12,10.0,-0.004218617564494671,0.6685719859030335,0.0006685719859030334,-0.004887189550397704
2015-06-12,2015-06-19,10.0,0.003900732071462907,0.0,0.0,0.003900732071462907
2015-06-19,2015-06-26,10.0,0.0030864258170692207,0.0,0.0,0.0030864258170692207
2015-06-26,2015-07-03,10.0,-0.005148841803147891,0.0,0.0,-0.005148841803147891
